City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
246,Sterling,US,39.0062,-77.4286,70.0,46,40,9.22,scattered clouds
247,Paita,PE,-5.0892,-81.1144,67.39,72,9,19.24,clear sky
248,Ust-Kuyga,RU,70.0167,135.6,10.24,97,95,6.82,overcast clouds
249,Boddam,GB,57.4667,-1.7833,38.43,77,29,7.74,scattered clouds
250,Fare,PF,-16.7,-151.0167,78.94,73,3,10.07,clear sky
251,Ashland,US,40.8167,-82.2665,60.17,28,16,14.97,few clouds
252,San Patricio,US,28.017,-97.5169,91.18,46,57,12.5,broken clouds
253,Jinchang,CN,38.4953,102.1739,48.83,31,100,8.19,overcast clouds
254,Zamania,IN,25.4333,83.5667,70.32,64,0,2.21,clear sky
255,Koungou,YT,-12.7336,45.2042,73.11,78,0,2.3,clear sky
256,Cacahuatepec,MX,16.8861,-99.6106,83.26,84,38,4.56,moderate rain
257,Tura,IN,25.5198,90.2201,69.37,90,0,3.29,clear sky
258,Katangli,RU,51.7102,143.2326,43.47,82,100,8.25,overcast clouds
259,Banda Aceh,ID,5.5577,95.3222,79.39,79,95,12.48,overcast clouds
260,Luneburg,DE,53.25,10.4,57.72,87,100,6.64,overcast clouds
261,Dikson,RU,73.5069,80.5464,33.04,98,100,24.11,overcast clouds
262,Cascais,PT,38.6979,-9.4215,66.94,80,0,18.41,clear sky
263,Teya,RU,60.3778,92.6267,30.47,87,98,1.41,overcast clouds
264,Tasiilaq,GL,65.6145,-37.6368,18.52,60,3,6.96,clear sky
265,Ilulissat,GL,69.2167,-51.1,17.98,72,99,2.75,overcast clouds
266,Kouango,CF,4.9934,19.9619,72.37,91,100,1.48,overcast clouds
267,Balabac,PH,7.9868,117.0645,81.07,79,98,13.22,overcast clouds
268,Brae,GB,60.3964,-1.353,47.86,64,9,17.83,clear sky
269,Pevek,RU,69.7008,170.3133,13.14,90,100,10.51,overcast clouds
270,Ponta Delgada,PT,37.7333,-25.6667,74.5,88,75,13.8,broken clouds
271,Yulara,AU,-25.2406,130.9889,61.52,32,99,15.52,overcast clouds
272,Belaya Gora,RU,68.5333,146.4167,10.4,91,100,4.32,overcast clouds
273,Nome,US,64.5011,-165.4064,34.16,73,7,7.58,clear sky
274,Ronne,DK,55.1009,14.7066,55.31,94,20,10.36,few clouds
275,Paamiut,GL,61.994,-49.6678,33.69,57,24,18.57,few clouds
276,Emmett,US,43.8735,-116.4993,77.09,13,8,6.76,clear sky
277,Samarai,PG,-10.6167,150.6667,81.52,82,66,10.11,broken clouds
278,Berdigestyakh,RU,62.0989,126.6992,24.03,99,99,1.95,overcast clouds
279,Burgeo,CA,47.6167,-57.6152,54.41,88,99,5.99,overcast clouds
280,Iraray,PH,8.9936,118.0511,77.54,86,100,2.24,overcast clouds
281,Mercedes,AR,-34.6515,-59.4307,61.03,23,65,14.52,broken clouds
282,Kieta,PG,-6.2167,155.6333,81.09,76,99,1.77,overcast clouds
283,Sinnamary,GF,5.3833,-52.95,81.28,81,54,11.81,broken clouds
284,Wuwei,CN,37.9281,102.6414,47.97,29,100,1.72,overcast clouds
285,Moron,AR,-34.6534,-58.6198,62.49,54,32,12.39,scattered clouds
286,Bose,IT,45.4612,8.0137,58.59,89,67,3.98,broken clouds
287,Atakpame,TG,7.5333,1.1333,71.71,96,72,3.67,broken clouds
288,Ossora,RU,59.2353,163.0719,34.66,81,100,3.27,overcast clouds
289,Namatanai,PG,-3.6667,152.4333,81.09,74,72,5.91,light rain
290,Muros,ES,42.7762,-9.0603,65.08,90,22,7.07,few clouds
291,Ketchikan,US,55.3422,-131.6461,56.82,97,100,3.42,overcast clouds
292,Grand Gaube,MU,-20.0064,57.6608,72.0,63,8,7.0,clear sky
293,Tabuk,PH,17.4189,121.4443,71.62,93,100,2.64,overcast clouds
294,Wick,GB,58.4333,-3.0833,41.05,81,0,4.61,clear sky
295,Dali,CN,25.7,100.1833,59.09,95,61,1.66,broken clouds
296,Tres Picos,MX,15.8667,-93.5333,83.37,77,38,1.7,moderate rain
297,Taltal,CL,-25.4,-70.4833,60.19,74,24,2.91,few clouds
298,Paka,MY,4.6374,103.4368,75.13,94,76,0.0,broken clouds
299,Sarai,RU,53.7458,41.0213,38.32,69,78,5.23,broken clouds
300,Iquitos,PE,-3.7481,-73.2472,86.04,70,75,3.44,broken clouds
301,Lityn,UA,49.3251,28.0809,43.36,71,18,7.0,few clouds
